Title,Description,Priority,Estimate (SP),Status,Sprint,Epic
Auth: Supabase Auth,Implement user sign up/sign in with role assignment (parent/staff/admin),High,5,To Do,Sprint 1,Auth
Child CRUD,Create, read and update child profiles + parent linking,High,8,To Do,Sprint 1,Core
Attendance logging,Check in/out with timestamps & status changes (children.status + attendance_logs),High,8,To Do,Sprint 1,Core
Parent view,Display parent's children, incidents and pickup options,High,5,To Do,Sprint 1,UX
Staff view,Full list of children, management and incident-reporting,High,8,To Do,Sprint 2,Staff
Approved persons,Add/list/remove approved pickup persons; approvals flow,Medium,5,To Do,Sprint 2,UX
Pickup request flow,Send pickup request from parent, optionally staff approval,Medium,5,To Do,Sprint 2,UX
Chat (messages),Enable parent-staff messaging,Low,8,To Do,Sprint 3,Collaboration
Incidents logging,Incidents per child with notifications,Low,5,To Do,Sprint 3,Compliance
Daily info (calendar),Publish daily info, menus and events,Low,3,To Do,Sprint 3,UX
E2E tests,Create integration tests for key flows,High,8,In Progress,Sprint 1,QA
Type-safety cleanup,Remove 'any' casts in Supabase services + use generated api types,High,8,To Do,Sprint 2,Tech Debt
Deploy (Vercel),CI/UI deploy + migrations on deploy,High,3,To Do,Sprint 3,DevOps
Security Review,Pentest and RLS policy review,High,5,To Do,Sprint 3,QA
Documentation,User guide + dev guide (setup + env vars),Medium,3,To Do,Sprint 3,Docs
Accessibility & UX polish,Large buttons, layout and color contrast,Medium,5,To Do,Sprint 3,UX
Dark mode (optional),Add dark mode support,Low,3,To Do,Sprint 4,UX
Profile deletion (GDPR),Implement account deletion cascade and logs,High,3,To Do,Sprint 2,GDPR
Reporting (optional),Simple reports for attendance and incidents,Low,5,To Do,Sprint 4,Analytics

